epoch,train_loss,val_loss,mae,mse,r2,std_ae
1,0.02968099721343469,0.01628040266660886,0.0955652,0.016282788,0.11795195545185935,0.018755345
2,0.0156686760822604,0.015413083230927894,0.09017129,0.015424381,0.16688894229275839,0.022219423
3,0.014894986043855859,0.014615373235329819,0.087403454,0.014617049,0.22733818988919305,0.022938618
4,0.014312434875562689,0.01404344390150521,0.08444764,0.014011948,0.26778702161129275,0.022435449
5,0.013835962410555947,0.0136923627533022,0.08326733,0.013681824,0.28892628239012036,0.022690827
6,0.013444843128927174,0.01339313137440228,0.08238417,0.013396539,0.3073266196852137,0.02236864
7,0.0130832535658623,0.013260005497340643,0.08129809,0.013264499,0.31567633519384247,0.022345498
8,0.012805622875233964,0.012920463999607803,0.08027946,0.012899859,0.3370438177913806,0.02247338
9,0.012539529357636527,0.012508102013064735,0.07811859,0.0125100985,0.36037376465077514,0.023146098
10,0.012289194040363733,0.012417848300365908,0.07777352,0.012419448,0.3654978974611778,0.023047265
11,0.012090990278919519,0.012306004492383617,0.07678273,0.012316954,0.3708432192277932,0.023520969
12,0.011909234220548202,0.01224259565783752,0.076760925,0.012240448,0.3738517910900965,0.023414696
13,0.011763303553928982,0.012040498785434742,0.07560671,0.01206629,0.38631852490578683,0.023460574
14,0.01160913300688134,0.011919014755774544,0.075583965,0.01190764,0.3979349651936456,0.023333946
15,0.011437734370796777,0.011795877053306786,0.07510085,0.011778822,0.4040738560145735,0.02309959
epoch,train_loss,val_loss,mae,mse,r2,std_ae
1,0.13778476054905014,0.016762658937320204,0.095805824,0.016763296,0.094628329645332,0.019867826
2,0.016214166388711492,0.015781356398889897,0.09298878,0.015779618,0.1529973907896777,0.020731902
3,0.01551311760913917,0.015349336769899045,0.09062294,0.015349199,0.18407501234137397,0.021101676
4,0.015010309643175101,0.01495575533152784,0.08762676,0.01494902,0.210880261796133,0.023223301
5,0.014597163527938509,0.014533491410379447,0.08745179,0.014548677,0.23949244171591455,0.021518314
6,0.014260680229215911,0.014184899895866541,0.084906735,0.014178923,0.26458851590209387,0.022730611
7,0.0140225107024289,0.014079603611690035,0.08541961,0.014092666,0.2676582240072101,0.021931738
8,0.013783914464663639,0.013869521635555805,0.08378046,0.013863372,0.28304884012684095,0.0227508
9,0.013564062600657522,0.013723916050510971,0.08339985,0.0137166325,0.2884183769969042,0.02252418
10,0.01335630841823059,0.013525877121197459,0.08290879,0.013524254,0.30428285319709,0.021908335
11,0.01315354924287536,0.013394663281281544,0.08238699,0.013390826,0.3119556587450583,0.022796033
12,0.012974315671804132,0.013189862768496173,0.08111411,0.01321997,0.3231604956500138,0.023148958
13,0.012835035954314495,0.012944937855981418,0.0800288,0.012937513,0.33935613865230585,0.022737376
14,0.012682296376076749,0.012929007742019395,0.08014883,0.0129250605,0.3387599414683149,0.022799226
15,0.012559162468462524,0.012866698056156894,0.080055244,0.012834625,0.34358060611093566,0.02245569
epoch,train_loss,val_loss,mae,mse,r2,std_ae
1,0.07121312653663989,0.015780741635780023,0.094010755,0.015787149,0.1524416714070046,0.019549755
2,0.015635083948746683,0.015316490646727651,0.09101534,0.015328067,0.17946898562836205,0.020696456
3,0.015014586102201698,0.014547833380040457,0.08743664,0.014536686,0.23430436572510338,0.021535575
4,0.014406390682665055,0.014134672174568248,0.085946515,0.014114086,0.2580663399672738,0.021314684
5,0.013974233953623877,0.013940494796237404,0.08454296,0.013922913,0.26406207511533225,0.022132576
6,0.013609021078450809,0.013508334289046846,0.08271816,0.013488917,0.29950414716698603,0.022774775
7,0.013282190228948693,0.01337350386245693,0.08116231,0.013360789,0.30774676028096243,0.022856582
8,0.013045093033964275,0.013125546724023843,0.08023035,0.013132012,0.32119775509274195,0.023192812
9,0.012832643944248823,0.013033132295101849,0.080835685,0.01303183,0.33014251548877044,0.022669163
10,0.012627353638061792,0.012649319494763197,0.07836148,0.01263639,0.35170297846373144,0.023012007
11,0.012419815602796721,0.012679479630564327,0.079281196,0.012664731,0.3460092646484679,0.023005344
12,0.012252811812698562,0.01259111434272991,0.077907145,0.012567492,0.3564323416207775,0.02313968
13,0.01209472881097382,0.012360352988047022,0.07736518,0.012340018,0.37023874215493663,0.023199935
14,0.011943416796898167,0.012163861200169029,0.07683925,0.012185018,0.37620259609254314,0.022894097
15,0.011794351975109913,0.011945650349020114,0.0755117,0.011934884,0.3928224326646462,0.023697982
epoch,train_loss,val_loss,mae,mse,r2,std_ae
1,0.018733309093211647,0.01622755940562421,0.09596509,0.016229782,0.12276045284838752,0.01922861
2,0.015810947134447327,0.01556680472370043,0.0915334,0.015561288,0.1693460002688837,0.021594862
3,0.01520181765184386,0.014914570422147718,0.088195875,0.014916143,0.2137544446323539,0.021647872
4,0.014742229590912944,0.014639985373044591,0.08804111,0.014645869,0.2327504272300569,0.021744512
5,0.014421099380323548,0.014216933122628415,0.08540509,0.014211861,0.25903555767368314,0.022478702
6,0.014125767675515476,0.013964070194957883,0.08454469,0.013966836,0.27827084217672904,0.022741817
7,0.013862076720411154,0.01381945626149947,0.08407423,0.013823546,0.28451838344725816,0.02234665
8,0.013644390269973656,0.013695860872416516,0.083342545,0.013688468,0.29428952906498196,0.022123314
9,0.013427138955248852,0.013443177760272968,0.08214731,0.0134279905,0.3099275101823211,0.022721987
10,0.013275555206513825,0.013323032535209505,0.08208416,0.013316215,0.3171970672815417,0.022866577
11,0.013092246240540893,0.013213737288532392,0.08089826,0.013221575,0.32255585449640023,0.023134554
12,0.012954452652156329,0.0132583692137475,0.08209442,0.013248596,0.3204339538734656,0.022653256
13,0.012810839331902128,0.012969334747967767,0.080751136,0.012972471,0.3385938258084226,0.022806969
14,0.012658777687480544,0.012882238756150362,0.07962032,0.0128884325,0.3423861093617914,0.023016192
15,0.012550458179125765,0.012849528476986756,0.07962124,0.012866003,0.3427491323899203,0.02334416
epoch,train_loss,val_loss,mae,mse,r2,std_ae
1,0.26630084802686704,0.015808434892330636,0.0910787,0.015810985,0.14621865172400966,0.020955335
2,0.015757923844928776,0.015584733813316926,0.092035264,0.015575569,0.16487402661663914,0.021017257
3,0.015243254587408026,0.014897826349009916,0.08828881,0.014875046,0.21352399982531212,0.022273194
4,0.01495147410183962,0.014520897452581897,0.08694257,0.014529425,0.23459406376886965,0.02248855
5,0.014325386415701932,0.014181892110941502,0.08542329,0.014165002,0.26158780734782566,0.02253877
6,0.01395455400671046,0.013819398361575155,0.08435032,0.013818177,0.2800409385852104,0.02170556
7,0.013621480679715138,0.013563098631326362,0.082782015,0.013545863,0.2982469711076052,0.022924613
8,0.013381503393787417,0.013450892743275628,0.08190143,0.01345297,0.30358129301307735,0.02299988
9,0.013160940364607035,0.013298867530874343,0.08172863,0.013304526,0.31203461007978545,0.022948176
10,0.012937183208958784,0.013267484547903155,0.08052392,0.013283913,0.3152270599936733,0.023462724
11,0.012794337476856436,0.012841873172955343,0.07976401,0.012829229,0.34102806321669626,0.023013223
12,0.01261164074923006,0.012694152960878764,0.07843754,0.0126641495,0.3533625513102895,0.023129938
13,0.012431799258535093,0.01255303393902522,0.07810388,0.012529698,0.3605268094778943,0.02349969
14,0.012256873422761676,0.012470893376466119,0.07779942,0.012494845,0.3625149531019696,0.023617601
15,0.01211213427267563,0.01234860118752541,0.07757943,0.01234112,0.3731511249799194,0.02330479
